OrgIndexId,GradYear,SchoolYear,StudentGroup,GradeLevel,DAT,CountExpected,CountMet,CountPrevPassed,PctMet_OSPI,PctMet,L1,L2,L3,L4,PctFoundational,CountFoundational,PctAltAssessment,DataAsOf,PctMet_Flag,PctMet_Delta
29,2025,2014-15,All Students,3,ERR_None,132,100,132,75.8%,0.757576,0.0530303030303,0.1893939393939,0.5000000000000,0.2575757575757,,,,09/09/2022 12:00:00 AM,OK,-2.42424299967681E-07
29,2025,2014-15,Homeless,3,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
29,2025,2014-15,Low-Income,3,ERR_None,42,26,42,61.9%,0.619048,0.1428571428571,0.2380952380952,0.4047619047619,0.2142857142857,,,,09/09/2022 12:00:00 AM,OK,-3.80952400069745E-07
29,2024,2014-15,All Students,4,ERR_None,144,93,144,64.6%,0.645833,0.0902777777777,0.2500000000000,0.4236111111111,0.2222222222222,,,,09/09/2022 12:00:00 AM,OK,3.33333299962213E-07
29,2024,2014-15,Homeless,4,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
29,2024,2014-15,Low-Income,4,ERR_None,51,30,51,58.8%,0.588235,0.1372549019607,0.2745098039215,0.4901960784313,0.0980392156862,,,,09/09/2022 12:00:00 AM,OK,2.94117500021507E-07
29,2023,2014-15,All Students,5,ERR_None,122,61,122,50.0%,0.5,0.1885245901639,0.3114754098360,0.2131147540983,0.2868852459016,,,,09/09/2022 12:00:00 AM,OK,-1.00031094518727E-13
29,2023,2014-15,Homeless,5,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
29,2023,2014-15,Low-Income,5,ERR_None,33,15,33,45.5%,0.454545,0.3030303030303,0.2424242424242,0.2424242424242,0.2121212121212,,,,09/09/2022 12:00:00 AM,OK,4.54545399986017E-07
29,2022,2014-15,All Students,6,ERR_None,128,44,128,34.4%,0.34375,0.2343750000000,0.4140625000000,0.2187500000000,0.1250000000000,,,,09/09/2022 12:00:00 AM,OK,0
29,2022,2014-15,Homeless,6,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
29,2022,2014-15,Low-Income,6,ERR_None,50,13,50,26.0%,0.26,0.2600000000000,0.4800000000000,0.1400000000000,0.1200000000000,,,,09/09/2022 12:00:00 AM,OK,0
29,2021,2014-15,All Students,7,ERR_None,134,56,134,41.8%,0.41791,0.2238805970149,0.3507462686567,0.2985074626865,0.1194029850746,,,,09/09/2022 12:00:00 AM,OK,4.47761100030863E-07
29,2021,2014-15,Homeless,7,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
29,2021,2014-15,Low-Income,7,ERR_None,48,18,48,37.5%,0.375,0.3333333333333,0.2916666666666,0.2500000000000,0.1250000000000,,,,09/09/2022 12:00:00 AM,OK,0
29,2020,2014-15,All Students,8,ERR_None,137,67,137,48.9%,0.489051,0.1970802919708,0.3138686131386,0.2262773722627,0.2627737226277,,,,09/09/2022 12:00:00 AM,OK,9.48903999820061E-08
29,2020,2014-15,Homeless,8,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
29,2020,2014-15,Low-Income,8,ERR_None,37,7,37,18.9%,0.189189,0.3783783783783,0.4324324324324,0.1351351351351,0.0540540540540,,,,09/09/2022 12:00:00 AM,OK,1.89189099997211E-07
29,2017,2014-15,All Students,11,ERR_None,148,30,148,20.3%,0.202703,0.3108108108108,0.1689189189189,0.1554054054054,0.0472972972972,,,,09/09/2022 12:00:00 AM,OK,-2.97297400003727E-07
29,2017,2014-15,Homeless,11,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
